image_name,box_id,hbox,fbox,vbox,gender,age
khaliji_000007,1,"[502, 4, 95, 116]",,,,
khaliji_000007,4,"[701, 62, 37, 45]",,,,
khaliji_000030,13,"[278, 181, 27, 37]",,,,
khaliji_000036,2,"[1376, 1043, 276, 281]",,,,
khaliji_000036,3,"[796, 1019, 403, 436]",,,,
khaliji_000036,5,"[3110, 1196, 387, 384]",,,,
khaliji_000124,0,"[660, 0, 10, 4]",,,,
khaliji_000124,1,"[701, 1, 11, 10]",,,,
khaliji_000124,3,"[714, 23, 13, 14]",,,,
khaliji_000124,20,"[323, 140, 25, 25]",,,,
khaliji_000124,22,"[404, 154, 17, 20]",,,,
khaliji_000124,23,"[570, 155, 14, 18]",,,,
khaliji_000124,24,"[564, 167, 15, 17]",,,,
khaliji_000124,31,"[306, 225, 21, 25]",,,,
khaliji_000124,36,"[317, 258, 15, 17]",,,,
khaliji_000124,37,"[447, 260, 12, 15]",,,,
khaliji_000124,39,"[349, 270, 10, 12]",,,,
khaliji_000036,7,"[897, 1359, 550, 560]",,,F,
khaliji_000036,6,"[157, 1260, 617, 721]",,,F,
khaliji_000036,1,"[1845, 792, 379, 508]",,,M,
khaliji_000036,0,"[2809, 924, 188, 207]",,,M,
khaliji_000030,12,"[21, 84, 41, 51]",,,F,
khaliji_000030,2,"[71, 48, 39, 48]",,,M,
khaliji_000030,1,"[123, 51, 30, 40]",,,M,
khaliji_000030,8,"[237, 71, 30, 41]",,,M,
khaliji_000030,4,"[262, 61, 27, 36]",,,M,
khaliji_000030,10,"[320, 87, 28, 33]",,,F,
khaliji_000030,9,"[376, 80, 27, 38]",,,F,
khaliji_000030,11,"[446, 87, 33, 40]",,,F,
khaliji_000030,5,"[502, 56, 37, 46]",,,F,
khaliji_000030,7,"[567, 69, 34, 41]",,,F,
khaliji_000030,6,"[334, 67, 23, 31]",,,M,
khaliji_000030,0,"[403, 39, 29, 36]",,,M,
khaliji_000007,2,"[128, 3, 93, 126]",,,M,
khaliji_000007,0,"[0, 1, 33, 94]",,,M,
khaliji_000007,3,"[309, 6, 102, 142]",,,M,
khaliji_000007,8,"[419, 80, 55, 67]",,,M,
khaliji_000007,6,"[470, 73, 49, 67]",,,M,
khaliji_000007,5,"[565, 0, 130, 176]",,,M,
khaliji_000007,7,"[771, 44, 115, 125]",,,M,
khaliji_000007,9,"[863, 64, 85, 99]",,,M,
khaliji_000124,40,"[525, 274, 21, 25]",,,F,
khaliji_000124,38,"[474, 259, 20, 26]",,,F,
khaliji_000124,33,"[485, 242, 18, 25]",,,F,
khaliji_000124,41,"[417, 286, 22, 26]",,,,
khaliji_000124,42,"[592, 290, 19, 22]",,,F,
khaliji_000124,32,"[553, 235, 22, 27]",,,M,
khaliji_000124,29,"[506, 200, 21, 25]",,,M,
khaliji_000124,6,"[334, 50, 18, 21]",,,M,
khaliji_000124,17,"[471, 131, 18, 23]",,,M,
khaliji_000124,10,"[512, 70, 15, 19]",,,M,
khaliji_000124,28,"[419, 184, 18, 26]",,,M,
khaliji_000124,9,"[480, 66, 15, 18]",,,M,
khaliji_000124,5,"[477, 43, 12, 14]",,,M,
khaliji_000124,11,"[561, 77, 14, 17]",,,M,
khaliji_000124,7,"[525, 60, 16, 19]",,,M,
khaliji_000124,2,"[603, 2, 14, 14]",,,M,
khaliji_000124,8,"[704, 62, 18, 20]",,,M,
khaliji_000124,12,"[686, 102, 16, 20]",,,M,
khaliji_000124,4,"[645, 33, 17, 18]",,,M,
khaliji_000124,25,"[701, 164, 16, 20]",,,F,
khaliji_000124,14,"[556, 112, 18, 21]",,,M,
khaliji_000124,13,"[617, 107, 17, 20]",,,M,
khaliji_000124,15,"[648, 120, 19, 20]",,,M,
khaliji_000124,27,"[622, 177, 19, 26]",,,M,
khaliji_000124,18,"[583, 131, 16, 22]",,,F,
khaliji_000124,19,"[598, 136, 17, 20]",,,M,
khaliji_000124,26,"[574, 180, 17, 20]",,,F,
khaliji_000124,30,"[570, 208, 20, 24]",,,F,
khaliji_000124,16,"[739, 122, 8, 16]",,,M,
khaliji_000124,35,"[644, 251, 20, 26]",,,M,
khaliji_000124,34,"[681, 247, 22, 28]",,,M,
khaliji_000040,0,"[598, 249, 3, 4]",,,,
khaliji_000040,1,"[442, 252, 5, 5]",,,,
khaliji_000040,2,"[456, 251, 5, 5]",,,,
khaliji_000040,3,"[639, 251, 3, 3]",,,,
khaliji_000040,4,"[577, 255, 5, 6]",,,,
khaliji_000040,5,"[583, 254, 5, 5]",,,,
khaliji_000040,6,"[615, 255, 4, 4]",,,,
khaliji_000040,7,"[460, 259, 5, 5]",,,,
khaliji_000040,8,"[477, 258, 5, 5]",,,,
khaliji_000040,9,"[573, 260, 5, 5]",,,,
khaliji_000040,13,"[305, 280, 9, 10]",,,,
khaliji_000061,0,"[211, 11, 8, 11]",,,,
khaliji_000061,4,"[103, 20, 10, 11]",,,,
khaliji_000061,5,"[29, 23, 9, 11]",,,,
khaliji_000061,10,"[57, 73, 7, 8]",,,,
khaliji_000061,7,"[33, 21, 13, 17]",,,M,
khaliji_000061,1,"[9, 11, 11, 14]",,,M,
khaliji_000061,2,"[68, 15, 11, 16]",,,M,
khaliji_000061,6,"[103, 20, 12, 16]",,,M,
khaliji_000061,8,"[130, 24, 14, 17]",,,F,
khaliji_000061,3,"[178, 10, 20, 26]",,,M,
khaliji_000040,15,"[392, 317, 21, 27]",,,F,
khaliji_000040,14,"[328, 280, 10, 13]",,,F,
khaliji_000040,11,"[126, 268, 15, 15]",,,M,
khaliji_000040,12,"[293, 271, 11, 14]",,,M,
khaliji_000040,10,"[249, 262, 10, 11]",,,M,
khaliji_000125,5,"[63, 123, 40, 44]",,,F,
khaliji_000125,1,"[128, 122, 28, 35]",,,F,
khaliji_000125,11,"[151, 138, 32, 41]",,,F,
khaliji_000125,9,"[188, 132, 27, 37]",,,F,
khaliji_000125,4,"[239, 125, 26, 33]",,,F,
khaliji_000125,12,"[225, 142, 31, 38]",,,F,
khaliji_000125,6,"[296, 127, 26, 34]",,,F,
khaliji_000125,2,"[359, 124, 24, 31]",,,F,
khaliji_000125,17,"[352, 172, 26, 30]",,,F,
khaliji_000125,0,"[414, 121, 23, 30]",,,F,
khaliji_000125,13,"[413, 149, 29, 37]",,,F,
khaliji_000125,7,"[473, 129, 27, 33]",,,F,
khaliji_000125,8,"[529, 128, 28, 33]",,,F,
khaliji_000125,16,"[475, 157, 28, 36]",,,F,
khaliji_000125,15,"[541, 156, 27, 35]",,,F,
khaliji_000125,3,"[575, 122, 29, 33]",,,F,
khaliji_000125,10,"[623, 131, 33, 40]",,,M,
khaliji_000028,14,"[25, 251, 27, 30]",,,F,
khaliji_000028,9,"[67, 181, 26, 28]",,,F,
khaliji_000028,8,"[176, 135, 25, 26]",,,F,
khaliji_000028,11,"[243, 211, 21, 28]",,,F,
khaliji_000028,10,"[307, 206, 23, 26]",,,F,
khaliji_000028,6,"[272, 112, 22, 29]",,,M,
khaliji_000028,4,"[337, 79, 21, 26]",,,M,
khaliji_000028,5,"[389, 107, 22, 26]",,,M,
khaliji_000028,12,"[416, 224, 29, 30]",,,M,
khaliji_000028,0,"[270, 19, 16, 21]",,,M,
khaliji_000028,1,"[328, 21, 16, 23]",,,M,
khaliji_000028,2,"[624, 51, 19, 26]",,,M,
khaliji_000028,3,"[657, 81, 11, 17]",,,M,
khaliji_000028,7,"[631, 122, 22, 24]",,,M,
khaliji_000028,13,"[615, 243, 23, 26]",,,M,
khaliji_000124,48,"[162, 398, 28, 34]",,,M,
khaliji_000124,52,"[191, 453, 29, 35]",,,M,
khaliji_000124,46,"[239, 374, 29, 35]",,,M,
khaliji_000124,43,"[270, 289, 25, 33]",,,M,
khaliji_000124,49,"[301, 403, 26, 32]",,,F,
khaliji_000124,58,"[249, 512, 31, 32]",,,M,
khaliji_000124,54,"[354, 474, 31, 39]",,,M,
khaliji_000124,50,"[454, 409, 24, 30]",,,F,
khaliji_000124,44,"[406, 306, 22, 27]",,,F,
khaliji_000124,47,"[521, 378, 29, 37]",,,M,
khaliji_000124,57,"[506, 500, 29, 35]",,,M,
khaliji_000124,55,"[635, 474, 30, 40]",,,M,
khaliji_000124,53,"[658, 454, 29, 36]",,,M,
khaliji_000124,51,"[738, 438, 10, 30]",,,M,
khaliji_000124,45,"[704, 364, 26, 32]",,,M,
khaliji_000077,0,"[751, 97, 43, 60]",,,,
khaliji_000014,7,"[370, 265, 19, 20]",,,,
khaliji_000087,2,"[403, 308, 69, 77]",,,,
khaliji_000107,0,"[564, 203, 18, 22]",,,,
khaliji_000107,1,"[607, 211, 16, 20]",,,,
khaliji_000107,2,"[531, 220, 15, 20]",,,,
khaliji_000107,3,"[35, 404, 8, 9]",,,,
khaliji_000107,4,"[53, 405, 9, 10]",,,,
khaliji_000107,5,"[90, 416, 6, 6]",,,,
khaliji_000107,6,"[1203, 511, 8, 10]",,,,
khaliji_000107,9,"[1260, 517, 11, 12]",,,,
khaliji_000107,10,"[45, 524, 10, 10]",,,,
khaliji_000107,13,"[209, 525, 7, 8]",,,,
khaliji_000107,14,"[314, 525, 8, 10]",,,,
khaliji_000107,18,"[1208, 523, 12, 13]",,,,
khaliji_000107,19,"[1232, 523, 12, 13]",,,,
khaliji_000107,20,"[12, 528, 12, 14]",,,,
khaliji_000107,21,"[178, 531, 9, 9]",,,,
khaliji_000107,24,"[1069, 532, 15, 18]",,,,
khaliji_000107,25,"[1279, 535, 10, 12]",,,,
khaliji_000107,30,"[181, 559, 13, 16]",,,,
khaliji_000107,31,"[197, 565, 14, 15]",,,,
khaliji_000107,32,"[135, 572, 16, 17]",,,,
khaliji_000107,34,"[172, 573, 15, 16]",,,,
khaliji_000107,36,"[200, 585, 20, 23]",,,,
khaliji_000022,0,"[275, 162, 5, 5]",,,,
khaliji_000022,4,"[458, 191, 9, 10]",,,,
khaliji_000042,1,"[212, 155, 14, 14]",,,,
khaliji_000042,2,"[246, 158, 13, 15]",,,,
khaliji_000133,1,"[518, 266, 68, 87]",,,M,
khaliji_000022,8,"[43, 236, 12, 13]",,,M,
khaliji_000022,9,"[25, 240, 11, 12]",,,F,
khaliji_000022,7,"[158, 234, 11, 12]",,,F,
khaliji_000022,1,"[241, 171, 18, 20]",,,F,
khaliji_000022,3,"[380, 193, 5, 6]",,,M,
khaliji_000022,6,"[388, 205, 5, 5]",,,M,
khaliji_000022,5,"[469, 195, 6, 6]",,,M,
khaliji_000042,0,"[110, 147, 18, 21]",,,M,
khaliji_000077,4,"[250, 119, 148, 143]",,,F,
khaliji_000077,1,"[60, 92, 86, 105]",,,M,
khaliji_000077,2,"[314, 98, 110, 136]",,,M,
khaliji_000077,3,"[184, 138, 70, 89]",,,F,
khaliji_000087,5,"[107, 417, 32, 35]",,,F,
khaliji_000087,0,"[253, 143, 141, 146]",,,F,
khaliji_000087,1,"[731, 138, 158, 190]",,,F,
khaliji_000087,3,"[1098, 374, 51, 59]",,,F,
khaliji_000087,6,"[984, 442, 19, 22]",,,F,
khaliji_000028,15,"[42, 267, 29, 32]",,,F,
khaliji_000014,5,"[114, 138, 40, 52]",,,M,
khaliji_000014,3,"[304, 128, 42, 51]",,,M,
khaliji_000014,1,"[216, 124, 29, 38]",,,M,
khaliji_000014,4,"[226, 143, 31, 35]",,,M,
khaliji_000014,2,"[160, 135, 28, 32]",,,M,1-2
khaliji_000014,6,"[432, 161, 28, 34]",,,M,
khaliji_000014,0,"[478, 76, 50, 63]",,,M,
khaliji_000107,7,"[240, 500, 44, 48]",,,M,
khaliji_000107,22,"[362, 516, 37, 39]",,,M,
khaliji_000107,15,"[433, 507, 41, 44]",,,M,
khaliji_000107,37,"[551, 580, 30, 33]",,,M,
khaliji_000107,39,"[629, 600, 23, 24]",,,M,
khaliji_000107,17,"[1091, 497, 63, 69]",,,M,
khaliji_000107,11,"[54, 524, 17, 17]",,,F,
khaliji_000107,35,"[496, 564, 31, 34]",,,M,
khaliji_000107,12,"[117, 522, 14, 15]",,,M,
khaliji_000107,33,"[152, 567, 22, 25]",,,M,
khaliji_000107,38,"[854, 589, 23, 30]",,,F,
khaliji_000107,29,"[780, 548, 28, 31]",,,F,
khaliji_000107,8,"[1169, 508, 31, 35]",,,M,
khaliji_000107,16,"[1035, 510, 29, 36]",,,M,
khaliji_000107,26,"[960, 529, 34, 39]",,,,
khaliji_000107,27,"[1024, 539, 25, 30]",,,F,
khaliji_000107,23,"[989, 523, 32, 39]",,,,
khaliji_000042,3,"[322, 160, 10, 13]",,,,
khaliji_000042,4,"[147, 161, 13, 15]",,,,
khaliji_000042,6,"[427, 160, 14, 17]",,,,
khaliji_000042,9,"[440, 165, 13, 17]",,,,
khaliji_000042,10,"[403, 167, 16, 19]",,,,
khaliji_000042,16,"[214, 174, 15, 18]",,,,
khaliji_000042,19,"[426, 174, 16, 21]",,,,
khaliji_000086,0,"[962, 296, 17, 20]",,,,
khaliji_000086,1,"[978, 297, 19, 21]",,,,
khaliji_000086,2,"[63, 316, 7, 8]",,,,
khaliji_000086,4,"[775, 319, 13, 13]",,,,
khaliji_000086,7,"[627, 328, 8, 9]",,,,
khaliji_000086,10,"[188, 331, 9, 10]",,,,
khaliji_000086,11,"[244, 337, 7, 8]",,,,
khaliji_000086,14,"[728, 335, 13, 16]",,,,
khaliji_000086,19,"[60, 347, 10, 12]",,,,
khaliji_000086,21,"[783, 345, 16, 19]",,,,
khaliji_000086,22,"[157, 356, 7, 7]",,,,
khaliji_000086,24,"[292, 370, 12, 13]",,,,
khaliji_000093,0,"[383, 48, 6, 8]",,,,
khaliji_000093,2,"[178, 44, 18, 23]",,,M,
khaliji_000093,5,"[264, 47, 21, 24]",,,M,
khaliji_000093,11,"[327, 62, 11, 12]",,,F,
khaliji_000093,6,"[340, 56, 6, 6]",,,M,
khaliji_000093,4,"[325, 54, 5, 6]",,,M,
khaliji_000093,3,"[310, 55, 6, 6]",,,M,
khaliji_000093,7,"[203, 57, 9, 12]",,,M,
khaliji_000093,12,"[222, 67, 11, 13]",,,M,
khaliji_000093,13,"[243, 67, 9, 12]",,,F,
khaliji_000093,10,"[81, 60, 10, 11]",,,M,
khaliji_000093,9,"[71, 61, 9, 9]",,,M,
khaliji_000093,8,"[44, 60, 11, 13]",,,M,
khaliji_000114,2,"[149, 515, 23, 30]",,,F,
khaliji_000114,0,"[432, 466, 28, 33]",,,M,
khaliji_000076,0,"[513, 263, 168, 219]",,,F,
khaliji_000076,2,"[742, 470, 149, 184]",,,F,
khaliji_000076,3,"[1018, 513, 148, 161]",,,M,
khaliji_000076,1,"[1210, 266, 204, 247]",,,M,
khaliji_000042,18,"[350, 173, 19, 26]",,,F,
khaliji_000042,22,"[316, 179, 17, 21]",,,F,
khaliji_000042,15,"[1, 141, 53, 83]",,,M,
khaliji_000042,12,"[108, 162, 26, 32]",,,M,
khaliji_000042,20,"[155, 177, 21, 21]",,,F,
khaliji_000042,5,"[258, 157, 20, 24]",,,M,
khaliji_000042,21,"[48, 174, 25, 31]",,,M,
khaliji_000086,9,"[126, 324, 27, 28]",,,M,
khaliji_000042,13,"[137, 167, 20, 25]",,,M,
khaliji_000042,8,"[239, 163, 17, 20]",,,M,
khaliji_000042,11,"[474, 167, 14, 16]",,,F,
khaliji_000042,14,"[518, 168, 20, 23]",,,M,
khaliji_000042,17,"[541, 173, 15, 19]",,,M,
khaliji_000042,7,"[69, 162, 19, 21]",,,,
khaliji_000086,3,"[199, 303, 35, 44]",,,M,
khaliji_000086,20,"[318, 335, 30, 41]",,,F,
khaliji_000086,17,"[577, 328, 36, 38]",,,M,
khaliji_000086,8,"[679, 318, 32, 32]",,,M,
khaliji_000086,6,"[450, 326, 16, 18]",,,M,
khaliji_000086,18,"[735, 341, 18, 20]",,,F,
khaliji_000086,12,"[520, 332, 17, 19]",,,F,
khaliji_000086,23,"[617, 351, 18, 19]",,,F,
khaliji_000086,13,"[554, 336, 8, 9]",,,F,
khaliji_000086,16,"[71, 341, 9, 10]",,,F,
khaliji_000086,15,"[41, 342, 8, 9]",,,F,
khaliji_000117,0,"[439, 0, 29, 9]",,,F,
khaliji_000117,9,"[697, 390, 41, 52]",,,F,
khaliji_000117,7,"[545, 191, 40, 50]",,,M,
khaliji_000117,5,"[373, 108, 43, 53]",,,M,
khaliji_000117,4,"[261, 110, 37, 50]",,,M,
khaliji_000117,8,"[91, 210, 46, 57]",,,M,
khaliji_000117,6,"[84, 188, 43, 49]",,,M,
khaliji_000117,3,"[158, 102, 39, 45]",,,M,
khaliji_000117,1,"[365, 26, 38, 47]",,,M,
khaliji_000117,2,"[122, 58, 33, 43]",,,F,
khaliji_000114,5,"[342, 522, 30, 32]",,,,
khaliji_000114,8,"[839, 523, 28, 38]",,,,
khaliji_000122,1,"[651, 135, 18, 23]",,,,
khaliji_000122,2,"[798, 149, 11, 13]",,,,
khaliji_000122,3,"[855, 162, 13, 14]",,,,
khaliji_000122,4,"[940, 169, 11, 13]",,,,
khaliji_000122,5,"[1209, 171, 8, 9]",,,,
khaliji_000122,6,"[1236, 173, 8, 9]",,,,
khaliji_000122,7,"[698, 176, 10, 12]",,,,
khaliji_000122,8,"[1186, 179, 10, 11]",,,,
khaliji_000122,9,"[1247, 178, 8, 9]",,,,
khaliji_000122,10,"[887, 181, 16, 19]",,,,
khaliji_000122,11,"[1084, 182, 12, 13]",,,,
khaliji_000122,12,"[1109, 183, 10, 11]",,,,
khaliji_000122,13,"[1339, 180, 17, 21]",,,,
khaliji_000122,14,"[1120, 188, 11, 13]",,,,
khaliji_000122,15,"[1133, 188, 15, 18]",,,,
khaliji_000122,16,"[1177, 189, 14, 16]",,,,
khaliji_000122,17,"[1244, 189, 13, 15]",,,,
khaliji_000122,18,"[1221, 195, 16, 20]",,,,
khaliji_000122,20,"[784, 195, 26, 33]",,,,
khaliji_000122,21,"[1057, 198, 21, 25]",,,,
khaliji_000122,22,"[1109, 201, 11, 13]",,,,
khaliji_000122,23,"[1146, 198, 18, 20]",,,,
khaliji_000122,24,"[1190, 205, 15, 16]",,,,
khaliji_000122,26,"[981, 203, 36, 39]",,,,
khaliji_000122,27,"[1023, 208, 27, 29]",,,,
khaliji_000122,28,"[1266, 209, 21, 26]",,,,
khaliji_000122,30,"[1311, 208, 21, 24]",,,,
khaliji_000122,31,"[1216, 219, 18, 20]",,,,
khaliji_000122,32,"[1365, 214, 31, 30]",,,,
khaliji_000122,33,"[857, 222, 26, 26]",,,,
khaliji_000122,34,"[1063, 227, 14, 17]",,,,
khaliji_000122,46,"[1079, 282, 16, 20]",,,,
khaliji_000122,53,"[210, 289, 65, 85]",,,,
khaliji_000122,56,"[791, 325, 30, 37]",,,,
khaliji_000057,1,"[375, 45, 112, 155]",,,F,
khaliji_000057,3,"[539, 79, 98, 146]",,,F,
khaliji_000057,2,"[739, 59, 120, 168]",,,F,
khaliji_000114,10,"[242, 530, 32, 40]",,,M,
khaliji_000114,9,"[132, 528, 32, 39]",,,M,
khaliji_000114,3,"[202, 514, 30, 31]",,,M,
khaliji_000114,12,"[358, 536, 36, 40]",,,M,
khaliji_000114,11,"[464, 532, 36, 38]",,,M,
khaliji_000114,4,"[163, 519, 24, 31]",,,F,
khaliji_000114,6,"[398, 523, 29, 32]",,,F,
khaliji_000122,52,"[73, 284, 79, 99]",,,F,
khaliji_000122,60,"[224, 318, 114, 144]",,,M,
khaliji_000122,43,"[353, 251, 55, 78]",,,F,
khaliji_000122,54,"[614, 287, 61, 89]",,,F,
khaliji_000122,49,"[673, 270, 57, 82]",,,F,
khaliji_000122,58,"[966, 333, 87, 78]",,,F,
khaliji_000122,51,"[1311, 273, 123, 103]",,,F,
khaliji_000122,57,"[531, 330, 58, 73]",,,M,
khaliji_000122,48,"[447, 280, 48, 64]",,,F,
khaliji_000122,47,"[837, 266, 59, 67]",,,F,
khaliji_000122,50,"[889, 282, 59, 61]",,,F,
khaliji_000122,59,"[910, 343, 59, 71]",,,F,
khaliji_000122,25,"[615, 200, 41, 45]",,,F,
khaliji_000122,37,"[724, 227, 34, 45]",,,F,
khaliji_000122,19,"[715, 191, 23, 32]",,,F,
khaliji_000122,39,"[553, 235, 36, 47]",,,F,
khaliji_000122,41,"[481, 243, 40, 51]",,,F,
khaliji_000122,35,"[370, 223, 40, 50]",,,F,
khaliji_000122,36,"[496, 221, 46, 51]",,,F,
khaliji_000122,42,"[520, 245, 35, 45]",,,F,
khaliji_000122,0,"[543, 117, 29, 42]",,,F,
khaliji_000122,45,"[279, 265, 45, 54]",,,F,
khaliji_000122,55,"[189, 302, 52, 72]",,,F,
khaliji_000122,40,"[1452, 240, 36, 39]",,,F,
khaliji_000122,44,"[1424, 265, 41, 46]",,,M,
khaliji_000122,29,"[1296, 206, 23, 28]",,,F,
khaliji_000122,62,"[428, 380, 69, 96]",,,,
khaliji_000122,64,"[172, 413, 63, 82]",,,,
khaliji_000122,65,"[882, 407, 89, 114]",,,,
khaliji_000020,0,"[520, 29, 15, 17]",,,,
khaliji_000020,6,"[489, 51, 15, 16]",,,,
khaliji_000020,8,"[622, 59, 12, 13]",,,,
khaliji_000108,5,"[952, 199, 10, 12]",,,,
khaliji_000108,7,"[1187, 204, 12, 13]",,,,
khaliji_000108,8,"[977, 206, 15, 17]",,,,
khaliji_000108,11,"[1466, 222, 10, 11]",,,,
khaliji_000108,13,"[1210, 225, 11, 13]",,,,
khaliji_000108,15,"[1279, 230, 13, 14]",,,,
khaliji_000108,16,"[1385, 232, 10, 10]",,,,
khaliji_000108,17,"[1405, 229, 11, 12]",,,,
khaliji_000108,18,"[1462, 234, 12, 13]",,,,
khaliji_000129,3,"[742, 375, 29, 39]",,,,
khaliji_000129,6,"[836, 396, 12, 13]",,,,
khaliji_000129,8,"[1366, 382, 29, 32]",,,,
khaliji_000129,12,"[514, 395, 19, 23]",,,,
khaliji_000129,18,"[584, 401, 18, 22]",,,,
khaliji_000129,20,"[637, 397, 24, 30]",,,,
khaliji_000129,23,"[353, 413, 24, 29]",,,,
khaliji_000129,24,"[686, 413, 27, 31]",,,,
khaliji_000129,26,"[178, 394, 77, 83]",,,,
khaliji_000020,3,"[39, 38, 33, 37]",,,M,
khaliji_000020,14,"[444, 76, 43, 58]",,,M,
khaliji_000020,10,"[407, 64, 17, 20]",,,F,
khaliji_000020,5,"[544, 48, 14, 15]",,,M,
khaliji_000020,7,"[654, 51, 18, 18]",,,M,
khaliji_000020,2,"[599, 44, 15, 17]",,,M,
khaliji_000020,12,"[670, 68, 16, 21]",,,F,
khaliji_000020,4,"[515, 47, 16, 18]",,,M,
khaliji_000020,11,"[731, 67, 15, 17]",,,F,
khaliji_000020,9,"[744, 58, 19, 22]",,,M,
khaliji_000122,67,"[803, 458, 105, 151]",,,F,
khaliji_000122,68,"[1066, 490, 110, 136]",,,M,
khaliji_000122,63,"[561, 397, 81, 104]",,,M,
khaliji_000122,70,"[1151, 552, 106, 128]",,,M,
khaliji_000122,69,"[1245, 514, 153, 175]",,,M,
khaliji_000122,66,"[1416, 398, 81, 167]",,,M,
khaliji_000122,61,"[377, 360, 55, 65]",,,F,
khaliji_000108,6,"[102, 187, 40, 45]",,,F,
khaliji_000108,2,"[477, 123, 44, 52]",,,M,
khaliji_000108,1,"[599, 112, 61, 64]",,,M,
