frame_id,person_id,x,y,w,h,cls_id,video_name,video_length,time
1,1,399,182,121.0,229.0,1,TUD-Campus,71,0.0
1,2,282,201,92.0,184.0,1,TUD-Campus,71,0.0
1,3,63,153,82.0,288.0,1,TUD-Campus,71,0.0
1,4,192,206,62.0,137.0,1,TUD-Campus,71,0.0
1,5,125,209,74.0,157.0,1,TUD-Campus,71,0.0
1,6,162,208,55.0,145.0,1,TUD-Campus,71,0.0
2,1,399,181,139.0,235.0,1,TUD-Campus,71,0.04
2,2,269,202,87.0,182.0,1,TUD-Campus,71,0.04
2,3,71,151,100.0,284.0,1,TUD-Campus,71,0.04
2,4,200,206,55.0,137.0,1,TUD-Campus,71,0.04
2,5,127,210,77.0,157.0,1,TUD-Campus,71,0.04
2,6,157,206,71.0,143.0,1,TUD-Campus,71,0.04
3,1,419,182,106.0,227.0,1,TUD-Campus,71,0.08
3,2,271,196,76.0,190.0,1,TUD-Campus,71,0.08
3,3,70,155,111.0,286.0,1,TUD-Campus,71,0.08
3,4,209,204,47.0,139.0,1,TUD-Campus,71,0.08
3,5,136,206,64.0,160.0,1,TUD-Campus,71,0.08
3,6,162,204,71.0,142.0,1,TUD-Campus,71,0.08
4,1,428,181,111.0,237.0,1,TUD-Campus,71,0.12
4,2,262,196,76.0,185.0,1,TUD-Campus,71,0.12
4,3,80,160,106.0,280.0,1,TUD-Campus,71,0.12
4,4,218,206,41.0,138.0,1,TUD-Campus,71,0.12
4,5,131,208,75.0,154.0,1,TUD-Campus,71,0.12
4,6,164,212,73.0,131.0,1,TUD-Campus,71,0.12
5,1,439,179,95.0,238.0,1,TUD-Campus,71,0.16
5,2,264,197,66.0,187.0,1,TUD-Campus,71,0.16
5,3,84,165,104.0,267.0,1,TUD-Campus,71,0.16
5,4,227,208,39.0,139.0,1,TUD-Campus,71,0.16
5,5,136,208,74.364,153.95,1,TUD-Campus,71,0.16
5,6,180,211,53.0,139.0,1,TUD-Campus,71,0.16
6,1,454,179,87.0,238.0,1,TUD-Campus,71,0.2
6,2,251,194,68.0,187.0,1,TUD-Campus,71,0.2
6,3,89,164,115.0,270.0,1,TUD-Campus,71,0.2
6,4,228,208,47.0,136.0,1,TUD-Campus,71,0.2
6,5,141,209,73.727,153.91,1,TUD-Campus,71,0.2
6,6,183,214,53.0,136.0,1,TUD-Campus,71,0.2
7,1,453,177,81.0,239.0,1,TUD-Campus,71,0.24
7,2,245,190,69.0,196.0,1,TUD-Campus,71,0.24
7,3,103,165,110.0,272.0,1,TUD-Campus,71,0.24
7,4,234,208,48.0,135.5,1,TUD-Campus,71,0.24
7,5,146,209,73.091,153.86,1,TUD-Campus,71,0.24
7,6,184,211,56.0,145.0,1,TUD-Campus,71,0.24
8,1,471,178,76.0,241.0,1,TUD-Campus,71,0.28
8,2,236,188,70.0,197.0,1,TUD-Campus,71,0.28
8,3,117,165,101.0,276.0,1,TUD-Campus,71,0.28
8,4,239,208,49.0,135.0,1,TUD-Campus,71,0.28
8,5,151,209,72.454,153.82,1,TUD-Campus,71,0.28
8,6,190,211,55.0,144.0,1,TUD-Campus,71,0.28
9,1,464,173,101.0,244.0,1,TUD-Campus,71,0.32
9,2,232,190,74.0,195.0,1,TUD-Campus,71,0.32
9,3,125,158,113.0,283.0,1,TUD-Campus,71,0.32
9,4,245,209,50.0,134.5,1,TUD-Campus,71,0.32
9,5,156,209,71.818,153.77,1,TUD-Campus,71,0.32
9,6,193,214,56.0,138.0,1,TUD-Campus,71,0.32
10,1,479,168,81.0,251.0,1,TUD-Campus,71,0.36
10,2,224,190,78.0,194.0,1,TUD-Campus,71,0.36
10,3,134,159,97.0,283.0,1,TUD-Campus,71,0.36
10,4,251,209,51.0,134.0,1,TUD-Campus,71,0.36
10,5,161,210,71.182,153.73,1,TUD-Campus,71,0.36
11,1,483,169,88.0,250.0,1,TUD-Campus,71,0.4
11,2,220,194,77.0,191.0,1,TUD-Campus,71,0.4
11,3,139,154,92.0,286.0,1,TUD-Campus,71,0.4
11,4,256,209,52.0,133.5,1,TUD-Campus,71,0.4
11,5,166,210,70.546,153.68,1,TUD-Campus,71,0.4
12,1,497,167,99.0,249.0,1,TUD-Campus,71,0.44
12,2,210,195,70.0,185.0,1,TUD-Campus,71,0.44
12,3,139,155,100.0,285.0,1,TUD-Campus,71,0.44
12,4,262,209,53.0,133.0,1,TUD-Campus,71,0.44
12,5,171,210,69.909,153.64,1,TUD-Campus,71,0.44
13,1,502,172,100.0,246.0,1,TUD-Campus,71,0.48
13,2,210,195,73.0,185.0,1,TUD-Campus,71,0.48
13,3,160,151,90.0,289.0,1,TUD-Campus,71,0.48
13,4,264,209,55.0,129.0,1,TUD-Campus,71,0.48
13,5,176,210,69.273,153.59,1,TUD-Campus,71,0.48
14,1,499,172,108.0,241.0,1,TUD-Campus,71,0.52
14,2,203,194,72.2,187.8,1,TUD-Campus,71,0.52
14,3,163,149,88.0,293.0,1,TUD-Campus,71,0.52
14,4,261,208,58.0,132.0,1,TUD-Campus,71,0.52
14,5,181,211,68.636,153.55,1,TUD-Campus,71,0.52
15,1,506,178,109.0,239.0,1,TUD-Campus,71,0.56
15,2,196,194,71.4,190.6,1,TUD-Campus,71,0.56
15,3,179,149,91.0,291.0,1,TUD-Campus,71,0.56
15,4,268,206,65.0,149.0,1,TUD-Campus,71,0.56
15,5,186,211,68.0,153.5,1,TUD-Campus,71,0.56
16,1,514,177,117.0,239.0,1,TUD-Campus,71,0.6
16,2,190,193,70.6,193.4,1,TUD-Campus,71,0.6
16,3,182,150,92.0,292.0,1,TUD-Campus,71,0.6
16,4,279,205,50.0,139.0,1,TUD-Campus,71,0.6
16,5,191,211,67.364,153.45,1,TUD-Campus,71,0.6
17,1,520,176,114.0,247.0,1,TUD-Campus,71,0.64
17,2,183,193,69.8,196.2,1,TUD-Campus,71,0.64
17,3,200,148,93.0,296.0,1,TUD-Campus,71,0.64
17,4,287,201,44.0,148.0,1,TUD-Campus,71,0.64
17,5,196,212,66.727,153.41,1,TUD-Campus,71,0.64
18,1,522,165,111.0,263.0,1,TUD-Campus,71,0.68
18,2,176,192,69.0,199.0,1,TUD-Campus,71,0.68
18,3,196,149,111.0,299.0,1,TUD-Campus,71,0.68
18,4,293,208,49.0,139.0,1,TUD-Campus,71,0.68
18,5,201,212,66.091,153.36,1,TUD-Campus,71,0.68
19,1,534,168,103.0,253.0,1,TUD-Campus,71,0.72
19,2,174,185,68.0,199.0,1,TUD-Campus,71,0.72
19,3,206,157,104.0,287.0,1,TUD-Campus,71,0.72
19,4,296,213,57.0,132.0,1,TUD-Campus,71,0.72
19,5,206,212,65.454,153.32,1,TUD-Campus,71,0.72
20,1,547,182,88.0,240.0,1,TUD-Campus,71,0.76
20,2,165,187,62.0,199.0,1,TUD-Campus,71,0.76
20,3,204,159,118.0,285.0,1,TUD-Campus,71,0.76
20,4,296,205,60.0,137.0,1,TUD-Campus,71,0.76
20,5,211,212,64.818,153.27,1,TUD-Campus,71,0.76
21,1,565,176,74.0,247.0,1,TUD-Campus,71,0.8
21,2,159,194,60.0,191.0,1,TUD-Campus,71,0.8
21,3,215,162,122.0,282.0,1,TUD-Campus,71,0.8
21,4,301,209,57.0,135.0,1,TUD-Campus,71,0.8
21,5,216,213,64.182,153.23,1,TUD-Campus,71,0.8
22,1,575,170,87.0,255.0,1,TUD-Campus,71,0.84
22,2,150,188,68.0,200.0,1,TUD-Campus,71,0.84
22,3,222,163,108.0,286.0,1,TUD-Campus,71,0.84
22,4,307,208,61.0,140.0,1,TUD-Campus,71,0.84
22,5,221,213,63.545,153.18,1,TUD-Campus,71,0.84
23,1,582,168,81.0,262.0,1,TUD-Campus,71,0.88
23,2,139,186,69.0,199.0,1,TUD-Campus,71,0.88
23,3,219,164,119.0,282.0,1,TUD-Campus,71,0.88
23,4,307,205,68.0,144.0,1,TUD-Campus,71,0.88
23,5,226,213,62.909,153.14,1,TUD-Campus,71,0.88
24,1,585,165,94.0,269.0,1,TUD-Campus,71,0.92
24,2,131,188,75.0,200.0,1,TUD-Campus,71,0.92
24,3,243,162,120.0,289.0,1,TUD-Campus,71,0.92
24,4,310,205,71.0,142.0,1,TUD-Campus,71,0.92
24,5,231,213,62.273,153.09,1,TUD-Campus,71,0.92
24,7,-28,183,76.0,235.0,1,TUD-Campus,71,0.92
25,2,121,191,87.0,189.0,1,TUD-Campus,71,0.96
25,3,254,165,97.0,281.0,1,TUD-Campus,71,0.96
25,4,321,211,55.0,133.0,1,TUD-Campus,71,0.96
25,5,236,214,61.636,153.05,1,TUD-Campus,71,0.96
25,7,-15,179,63.0,240.0,1,TUD-Campus,71,0.96
